Experiment #2  Min_Sup : 0.05, Min_Conf : 0.85
----------------------------------------------
1 ['膨化食品'] ['饮料'] 0.9468085106382979 0.2386058981233244
2 ['啤酒'] ['饮料'] 0.923728813559322 0.14611260053619302
3 ['白酒'] ['饮料'] 0.8888888888888888 0.15013404825737264
4 ['冰品'] ['饮料'] 0.9510489510489512 0.18230563002680966
5 ['米'] ['饮料'] 0.9361702127659574 0.058981233243967826
6 ['休闲小食品'] ['饮料'] 0.937799043062201 0.26273458445040215
7 ['冷冻面点'] ['饮料'] 0.9523809523809523 0.08042895442359249
8 ['散装休闲食品'] ['饮料'] 0.8743315508021391 0.4383378016085791
9 ['杂粮'] ['散装休闲食品'] 0.8730158730158729 0.14745308310991956
10 ['冷藏素食制品'] ['饮料'] 0.888198757763975 0.19168900804289543
11 ['滋补保健品'] ['饮料'] 0.9752066115702479 0.1581769436997319
12 ['果酒'] ['饮料'] 0.9354838709677419 0.0777479892761394
13 ['常温熟食类'] ['饮料'] 0.9230769230769231 0.450402144772118
14 ['杂粮'] ['饮料'] 0.9682539682539683 0.16353887399463807
15 ['油'] ['饮料'] 0.9841269841269841 0.08310991957104558
16 ['糖果巧克力'] ['饮料'] 0.9171779141104294 0.4008042895442359
17 ['酱油'] ['饮料'] 0.9607843137254902 0.06568364611260054
18 ['常温乳制品'] ['饮料'] 0.9753086419753086 0.21179624664879357
19 ['进口食品'] ['饮料'] 0.9329268292682926 0.4101876675603217
20 ['调味品'] ['饮料'] 0.927536231884058 0.34316353887399464
21 ['炒货食品'] ['饮料'] 0.9403973509933774 0.1903485254691689
22 ['即食主食'] ['饮料'] 0.9018181818181817 0.3324396782841823
23 ['冷藏熟食'] ['饮料'] 0.9444444444444444 0.13672922252010725
24 ['油'] ['散装休闲食品'] 0.8730158730158729 0.07372654155495978
25 ['罐头食品'] ['饮料'] 0.9538461538461538 0.16621983914209115
26 ['南北干货'] ['饮料'] 0.9354838709677419 0.1554959785522788
27 ['酱油'] ['进口食品'] 0.9019607843137254 0.06166219839142091
28 ['冷藏乳制品'] ['饮料'] 0.907258064516129 0.30160857908847183
29 ['中式糕点'] ['饮料'] 0.9537037037037037 0.1380697050938338
30 ['菜肴半成品'] ['饮料'] 0.9433962264150944 0.06702412868632708
31 ['冲饮食品'] ['饮料'] 0.9575471698113207 0.27211796246648795
32 ['饼干'] ['饮料'] 0.9433198380566801 0.31233243967828417
33 ['米'] ['常温熟食类'] 0.851063829787234 0.05361930294906166
34 ['炒货食品', '糖果巧克力'] ['进口食品'] 0.882882882882883 0.13136729222520108
35 ['杂粮', '调味品'] ['常温熟食类'] 0.8958333333333333 0.11528150134048257
36 ['散装休闲食品', '冷藏熟食'] ['饮料'] 0.9718309859154931 0.09249329758713137
37 ['杂粮', '常温乳制品'] ['常温熟食类'] 0.8596491228070177 0.06568364611260054
38 ['南北干货', '进口食品'] ['饮料'] 0.9789473684210526 0.12466487935656836
39 ['油', '进口食品'] ['饮料'] 1.0 0.058981233243967826
40 ['冷藏熟食', '膨化食品'] ['常温熟食类'] 0.9090909090909092 0.05361930294906166
41 ['饼干', '杂粮'] ['常温熟食类'] 0.8648648648648649 0.08579088471849866
42 ['啤酒', '调味品'] ['饮料'] 1.0 0.0871313672922252
43 ['香烟', '滋补保健品'] ['饮料'] 1.0 0.06836461126005362
44 ['冲饮食品', '调味品'] ['饮料'] 0.9784172661870504 0.18230563002680966
45 ['饼干', '进口食品'] ['饮料'] 0.9839572192513368 0.24664879356568364
46 ['中式糕点', '即食主食'] ['饮料'] 0.9848484848484849 0.0871313672922252
47 ['冷藏熟食', '冷藏乳制品'] ['饮料'] 1.0 0.08310991957104558
48 ['罐头食品', '滋补保健品'] ['饮料'] 1.0 0.05361930294906166
49 ['南北干货', '散装休闲食品'] ['饮料'] 0.96 0.128686327077748
50 ['常温乳制品', '膨化食品'] ['饮料'] 1.0 0.11662198391420911
51 ['啤酒', '糖果巧克力'] ['饮料'] 1.0 0.09115281501340483
52 ['冷藏素食制品', '罐头食品'] ['饮料'] 0.9803921568627451 0.06702412868632708
53 ['饼干', '膨化食品'] ['饮料'] 0.9541984732824427 0.1675603217158177
54 ['常温乳制品', '即食主食'] ['常温熟食类'] 0.900900900900901 0.13404825737265416
55 ['冲饮食品', '散装休闲食品'] ['饮料'] 0.9751552795031055 0.21045576407506703
56 ['冷藏乳制品', '膨化食品'] ['散装休闲食品'] 0.8627450980392156 0.11796246648793565
57 ['中式糕点', '罐头食品'] ['饮料'] 1.0 0.05361930294906166
58 ['冷冻面点', '常温熟食类'] ['饮料'] 0.9591836734693877 0.06300268096514745
59 ['中式糕点', '膨化食品'] ['饮料'] 0.9821428571428571 0.07372654155495978
60 ['饮料', '米'] ['常温熟食类'] 0.8863636363636364 0.05227882037533512
61 ['常温熟食类', '米'] ['饮料'] 0.975 0.05227882037533512
62 ['冷冻面点', '饼干'] ['散装休闲食品'] 0.8837209302325582 0.05093833780160858
