Experiment #6  Min_Sup : 0.1, Min_Conf : 0.85
----------------------------------------------
1 ['膨化食品'] ['饮料'] 0.9468085106382979 0.2386058981233244
2 ['啤酒'] ['饮料'] 0.923728813559322 0.14611260053619302
3 ['白酒'] ['饮料'] 0.8888888888888888 0.15013404825737264
4 ['冰品'] ['饮料'] 0.9510489510489512 0.18230563002680966
5 ['休闲小食品'] ['饮料'] 0.937799043062201 0.26273458445040215
6 ['散装休闲食品'] ['饮料'] 0.8743315508021391 0.4383378016085791
7 ['杂粮'] ['散装休闲食品'] 0.8730158730158729 0.14745308310991956
8 ['冷藏素食制品'] ['饮料'] 0.888198757763975 0.19168900804289543
9 ['滋补保健品'] ['饮料'] 0.9752066115702479 0.1581769436997319
10 ['常温熟食类'] ['饮料'] 0.9230769230769231 0.450402144772118
11 ['杂粮'] ['饮料'] 0.9682539682539683 0.16353887399463807
12 ['糖果巧克力'] ['饮料'] 0.9171779141104294 0.4008042895442359
13 ['常温乳制品'] ['饮料'] 0.9753086419753086 0.21179624664879357
14 ['进口食品'] ['饮料'] 0.9329268292682926 0.4101876675603217
15 ['调味品'] ['饮料'] 0.927536231884058 0.34316353887399464
16 ['炒货食品'] ['饮料'] 0.9403973509933774 0.1903485254691689
17 ['即食主食'] ['饮料'] 0.9018181818181817 0.3324396782841823
18 ['冷藏熟食'] ['饮料'] 0.9444444444444444 0.13672922252010725
19 ['罐头食品'] ['饮料'] 0.9538461538461538 0.16621983914209115
20 ['南北干货'] ['饮料'] 0.9354838709677419 0.1554959785522788
21 ['冷藏乳制品'] ['饮料'] 0.907258064516129 0.30160857908847183
22 ['中式糕点'] ['饮料'] 0.9537037037037037 0.1380697050938338
23 ['冲饮食品'] ['饮料'] 0.9575471698113207 0.27211796246648795
24 ['饼干'] ['饮料'] 0.9433198380566801 0.31233243967828417
25 ['炒货食品', '糖果巧克力'] ['进口食品'] 0.882882882882883 0.13136729222520108
26 ['杂粮', '调味品'] ['常温熟食类'] 0.8958333333333333 0.11528150134048257
27 ['南北干货', '进口食品'] ['饮料'] 0.9789473684210526 0.12466487935656836
28 ['冲饮食品', '调味品'] ['饮料'] 0.9784172661870504 0.18230563002680966
29 ['饼干', '进口食品'] ['饮料'] 0.9839572192513368 0.24664879356568364
30 ['南北干货', '散装休闲食品'] ['饮料'] 0.96 0.128686327077748
31 ['常温乳制品', '膨化食品'] ['饮料'] 1.0 0.11662198391420911
32 ['饼干', '膨化食品'] ['饮料'] 0.9541984732824427 0.1675603217158177
33 ['常温乳制品', '即食主食'] ['常温熟食类'] 0.900900900900901 0.13404825737265416
34 ['冲饮食品', '散装休闲食品'] ['饮料'] 0.9751552795031055 0.21045576407506703
35 ['冷藏乳制品', '膨化食品'] ['散装休闲食品'] 0.8627450980392156 0.11796246648793565
36 ['冷藏乳制品', '膨化食品'] ['饮料'] 0.9705882352941176 0.13270777479892762
37 ['散装休闲食品', '冷藏乳制品'] ['饮料'] 0.9485714285714286 0.2225201072386059
38 ['冷藏熟食', '即食主食'] ['饮料'] 1.0 0.10053619302949061
39 ['中式糕点', '常温熟食类'] ['饮料'] 0.9634146341463414 0.10589812332439678
40 ['休闲小食品', '常温乳制品'] ['饮料'] 1.0 0.1193029490616622
41 ['进口食品', '罐头食品'] ['散装休闲食品'] 0.8543689320388349 0.11796246648793565
42 ['散装休闲食品', '罐头食品'] ['进口食品'] 0.8799999999999999 0.11796246648793565
43 ['糖果巧克力', '常温熟食类'] ['饮料'] 0.9813953488372092 0.2828418230563003
44 ['进口食品', '常温熟食类'] ['饮料'] 0.9699570815450643 0.30294906166219837
45 ['炒货食品', '休闲小食品'] ['饮料'] 0.9666666666666667 0.11662198391420911
46 ['散装休闲食品', '即食主食'] ['饮料'] 0.9417989417989417 0.2386058981233244
47 ['罐头食品', '调味品'] ['饮料'] 0.975609756097561 0.10723860589812333
48 ['饼干', '常温熟食类'] ['饮料'] 0.9888268156424581 0.23726541554959785
49 ['糖果巧克力', '香烟'] ['饮料'] 0.9731543624161073 0.19436997319034852
50 ['散装休闲食品', '杂粮'] ['饮料'] 0.981818181818182 0.1447721179624665
51 ['饮料', '杂粮'] ['散装休闲食品'] 0.8852459016393444 0.1447721179624665
52 ['杂粮'] ['散装休闲食品', '饮料'] 0.8571428571428572 0.1447721179624665
53 ['冷藏熟食', '常温熟食类'] ['饮料'] 0.9761904761904762 0.10991957104557641
54 ['糖果巧克力', '罐头食品'] ['饮料'] 1.0 0.12734584450402145
55 ['进口食品', '冷藏素食制品'] ['饮料'] 0.936936936936937 0.13941018766756033
56 ['杂粮', '调味品'] ['散装休闲食品'] 0.9270833333333333 0.1193029490616622
57 ['休闲小食品', '调味品'] ['常温熟食类'] 0.856060606060606 0.15147453083109919
58 ['休闲小食品', '常温乳制品'] ['常温熟食类'] 0.8876404494382023 0.10589812332439678
59 ['冰品', '调味品'] ['饮料'] 0.9770114942528737 0.11394101876675604
60 ['啤酒', '常温熟食类'] ['饮料'] 0.9868421052631579 0.10053619302949061
61 ['散装休闲食品', '休闲小食品'] ['饮料'] 0.9575757575757575 0.21179624664879357
62 ['散装休闲食品', '常温熟食类'] ['饮料'] 0.9510204081632653 0.31233243967828417
63 ['散装休闲食品', '滋补保健品'] ['常温熟食类'] 0.8617021276595744 0.10857908847184987
64 ['滋补保健品', '常温熟食类'] ['散装休闲食品'] 0.8526315789473684 0.10857908847184987
65 ['中式糕点', '进口食品'] ['饮料'] 0.9534883720930234 0.10991957104557641
66 ['冲饮食品', '冷藏乳制品'] ['饮料'] 0.9652173913043478 0.1487935656836461
67 ['散装休闲食品', '杂粮'] ['常温熟食类'] 0.8636363636363638 0.12734584450402145
68 ['杂粮', '常温熟食类'] ['散装休闲食品'] 0.8962264150943395 0.12734584450402145
69 ['炒货食品', '进口食品'] ['饮料'] 0.967741935483871 0.16085790884718498
70 ['休闲小食品', '常温熟食类'] ['饮料'] 0.9683544303797468 0.20509383378016086
71 ['冲饮食品', '膨化食品'] ['进口食品'] 0.8817204301075269 0.10991957104557641
72 ['散装休闲食品', '啤酒'] ['饮料'] 0.975609756097561 0.10723860589812333
73 ['散装休闲食品', '罐头食品'] ['饮料'] 0.98 0.13136729222520108
74 ['炒货食品', '糖果巧克力'] ['饮料'] 0.9819819819819819 0.14611260053619302
75 ['进口食品', '常温乳制品'] ['饮料'] 0.9923076923076923 0.17292225201072386
76 ['散装休闲食品', '膨化食品'] ['饮料'] 0.9642857142857144 0.18096514745308312
77 ['进口食品', '调味品'] ['饮料'] 0.9682539682539683 0.2453083109919571
78 ['冲饮食品', '饼干'] ['饮料'] 1.0 0.16353887399463807
79 ['冲饮食品', '常温乳制品'] ['饮料'] 0.9878048780487805 0.10857908847184987
80 ['炒货食品', '饼干'] ['饮料'] 0.9888888888888889 0.1193029490616622
81 ['散装休闲食品', '调味品'] ['饮料'] 0.9476190476190476 0.2667560321715818
82 ['膨化食品', '调味品'] ['饮料'] 0.9905660377358491 0.14075067024128687
83 ['散装休闲食品', '常温乳制品'] ['饮料'] 0.9849624060150376 0.17560321715817695
84 ['冷藏素食制品', '常温熟食类'] ['饮料'] 0.9189189189189191 0.13672922252010725
85 ['糖果巧克力', '进口食品'] ['饮料'] 0.9634703196347033 0.2828418230563003
86 ['即食主食', '调味品'] ['常温熟食类'] 0.8703703703703702 0.18900804289544235
87 ['冷藏乳制品', '调味品'] ['饮料'] 0.9862068965517241 0.19168900804289543
88 ['常温乳制品', '冷藏乳制品'] ['饮料'] 1.0 0.1260053619302949
89 ['进口食品', '杂粮'] ['常温熟食类'] 0.8799999999999999 0.11796246648793565
90 ['休闲小食品', '即食主食'] ['饮料'] 0.944 0.1581769436997319
91 ['啤酒', '进口食品'] ['饮料'] 0.975609756097561 0.10723860589812333
92 ['炒货食品', '散装休闲食品'] ['饮料'] 0.9666666666666667 0.1554959785522788
93 ['冲饮食品', '即食主食'] ['进口食品'] 0.8677685950413224 0.14075067024128687
