Experiment #7  Min_Sup : 0.1, Min_Conf : 0.9
----------------------------------------------
1 ['膨化食品'] ['饮料'] 0.9468085106382979 0.2386058981233244
2 ['啤酒'] ['饮料'] 0.923728813559322 0.14611260053619302
3 ['冰品'] ['饮料'] 0.9510489510489512 0.18230563002680966
4 ['休闲小食品'] ['饮料'] 0.937799043062201 0.26273458445040215
5 ['滋补保健品'] ['饮料'] 0.9752066115702479 0.1581769436997319
6 ['常温熟食类'] ['饮料'] 0.9230769230769231 0.450402144772118
7 ['杂粮'] ['饮料'] 0.9682539682539683 0.16353887399463807
8 ['糖果巧克力'] ['饮料'] 0.9171779141104294 0.4008042895442359
9 ['常温乳制品'] ['饮料'] 0.9753086419753086 0.21179624664879357
10 ['进口食品'] ['饮料'] 0.9329268292682926 0.4101876675603217
11 ['调味品'] ['饮料'] 0.927536231884058 0.34316353887399464
12 ['炒货食品'] ['饮料'] 0.9403973509933774 0.1903485254691689
13 ['即食主食'] ['饮料'] 0.9018181818181817 0.3324396782841823
14 ['冷藏熟食'] ['饮料'] 0.9444444444444444 0.13672922252010725
15 ['罐头食品'] ['饮料'] 0.9538461538461538 0.16621983914209115
16 ['南北干货'] ['饮料'] 0.9354838709677419 0.1554959785522788
17 ['冷藏乳制品'] ['饮料'] 0.907258064516129 0.30160857908847183
18 ['中式糕点'] ['饮料'] 0.9537037037037037 0.1380697050938338
19 ['冲饮食品'] ['饮料'] 0.9575471698113207 0.27211796246648795
20 ['饼干'] ['饮料'] 0.9433198380566801 0.31233243967828417
21 ['南北干货', '进口食品'] ['饮料'] 0.9789473684210526 0.12466487935656836
22 ['冲饮食品', '调味品'] ['饮料'] 0.9784172661870504 0.18230563002680966
23 ['饼干', '进口食品'] ['饮料'] 0.9839572192513368 0.24664879356568364
24 ['南北干货', '散装休闲食品'] ['饮料'] 0.96 0.128686327077748
25 ['常温乳制品', '膨化食品'] ['饮料'] 1.0 0.11662198391420911
26 ['饼干', '膨化食品'] ['饮料'] 0.9541984732824427 0.1675603217158177
27 ['常温乳制品', '即食主食'] ['常温熟食类'] 0.900900900900901 0.13404825737265416
28 ['冲饮食品', '散装休闲食品'] ['饮料'] 0.9751552795031055 0.21045576407506703
29 ['冷藏乳制品', '膨化食品'] ['饮料'] 0.9705882352941176 0.13270777479892762
30 ['散装休闲食品', '冷藏乳制品'] ['饮料'] 0.9485714285714286 0.2225201072386059
31 ['冷藏熟食', '即食主食'] ['饮料'] 1.0 0.10053619302949061
32 ['中式糕点', '常温熟食类'] ['饮料'] 0.9634146341463414 0.10589812332439678
33 ['休闲小食品', '常温乳制品'] ['饮料'] 1.0 0.1193029490616622
34 ['糖果巧克力', '常温熟食类'] ['饮料'] 0.9813953488372092 0.2828418230563003
35 ['进口食品', '常温熟食类'] ['饮料'] 0.9699570815450643 0.30294906166219837
36 ['炒货食品', '休闲小食品'] ['饮料'] 0.9666666666666667 0.11662198391420911
37 ['散装休闲食品', '即食主食'] ['饮料'] 0.9417989417989417 0.2386058981233244
38 ['罐头食品', '调味品'] ['饮料'] 0.975609756097561 0.10723860589812333
39 ['饼干', '常温熟食类'] ['饮料'] 0.9888268156424581 0.23726541554959785
40 ['糖果巧克力', '香烟'] ['饮料'] 0.9731543624161073 0.19436997319034852
41 ['散装休闲食品', '杂粮'] ['饮料'] 0.981818181818182 0.1447721179624665
42 ['冷藏熟食', '常温熟食类'] ['饮料'] 0.9761904761904762 0.10991957104557641
43 ['糖果巧克力', '罐头食品'] ['饮料'] 1.0 0.12734584450402145
44 ['进口食品', '冷藏素食制品'] ['饮料'] 0.936936936936937 0.13941018766756033
45 ['杂粮', '调味品'] ['散装休闲食品'] 0.9270833333333333 0.1193029490616622
46 ['冰品', '调味品'] ['饮料'] 0.9770114942528737 0.11394101876675604
47 ['啤酒', '常温熟食类'] ['饮料'] 0.9868421052631579 0.10053619302949061
48 ['散装休闲食品', '休闲小食品'] ['饮料'] 0.9575757575757575 0.21179624664879357
49 ['散装休闲食品', '常温熟食类'] ['饮料'] 0.9510204081632653 0.31233243967828417
50 ['中式糕点', '进口食品'] ['饮料'] 0.9534883720930234 0.10991957104557641
51 ['冲饮食品', '冷藏乳制品'] ['饮料'] 0.9652173913043478 0.1487935656836461
52 ['炒货食品', '进口食品'] ['饮料'] 0.967741935483871 0.16085790884718498
53 ['休闲小食品', '常温熟食类'] ['饮料'] 0.9683544303797468 0.20509383378016086
54 ['散装休闲食品', '啤酒'] ['饮料'] 0.975609756097561 0.10723860589812333
55 ['散装休闲食品', '罐头食品'] ['饮料'] 0.98 0.13136729222520108
56 ['炒货食品', '糖果巧克力'] ['饮料'] 0.9819819819819819 0.14611260053619302
57 ['进口食品', '常温乳制品'] ['饮料'] 0.9923076923076923 0.17292225201072386
58 ['散装休闲食品', '膨化食品'] ['饮料'] 0.9642857142857144 0.18096514745308312
59 ['进口食品', '调味品'] ['饮料'] 0.9682539682539683 0.2453083109919571
60 ['冲饮食品', '饼干'] ['饮料'] 1.0 0.16353887399463807
61 ['冲饮食品', '常温乳制品'] ['饮料'] 0.9878048780487805 0.10857908847184987
62 ['炒货食品', '饼干'] ['饮料'] 0.9888888888888889 0.1193029490616622
63 ['散装休闲食品', '调味品'] ['饮料'] 0.9476190476190476 0.2667560321715818
64 ['膨化食品', '调味品'] ['饮料'] 0.9905660377358491 0.14075067024128687
65 ['散装休闲食品', '常温乳制品'] ['饮料'] 0.9849624060150376 0.17560321715817695
66 ['冷藏素食制品', '常温熟食类'] ['饮料'] 0.9189189189189191 0.13672922252010725
67 ['糖果巧克力', '进口食品'] ['饮料'] 0.9634703196347033 0.2828418230563003
68 ['冷藏乳制品', '调味品'] ['饮料'] 0.9862068965517241 0.19168900804289543
69 ['常温乳制品', '冷藏乳制品'] ['饮料'] 1.0 0.1260053619302949
70 ['休闲小食品', '即食主食'] ['饮料'] 0.944 0.1581769436997319
71 ['啤酒', '进口食品'] ['饮料'] 0.975609756097561 0.10723860589812333
72 ['炒货食品', '散装休闲食品'] ['饮料'] 0.9666666666666667 0.1554959785522788
73 ['罐头食品', '冷藏乳制品'] ['饮料'] 1.0 0.10053619302949061
74 ['冲饮食品', '休闲小食品'] ['饮料'] 0.9907407407407407 0.14343163538873996
75 ['冲饮食品', '膨化食品'] ['饮料'] 1.0 0.12466487935656836
76 ['常温乳制品', '即食主食'] ['饮料'] 0.9819819819819819 0.14611260053619302
77 ['即食主食', '调味品'] ['饮料'] 0.9753086419753086 0.21179624664879357
78 ['散装休闲食品', '冷藏素食制品'] ['饮料'] 0.9067796610169493 0.14343163538873996
79 ['进口食品', '滋补保健品'] ['饮料'] 0.9895833333333334 0.12734584450402145
80 ['进口食品', '杂粮'] ['饮料'] 0.99 0.13270777479892762
81 ['即食主食', '膨化食品'] ['饮料'] 0.9729729729729731 0.1447721179624665
82 ['糖果巧克力', '杂粮'] ['散装休闲食品'] 0.9222222222222223 0.11126005361930295
83 ['散装休闲食品', '香烟'] ['饮料'] 0.9529411764705882 0.21715817694369974
84 ['常温乳制品', '常温熟食类'] ['饮料'] 0.9849624060150376 0.17560321715817695
85 ['常温熟食类', '调味品'] ['饮料'] 0.9609756097560975 0.2640750670241287
86 ['糖果巧克力', '冷藏素食制品'] ['饮料'] 0.9519230769230769 0.13270777479892762
87 ['膨化食品', '常温熟食类'] ['饮料'] 0.9854014598540146 0.18096514745308312
88 ['饼干', '糖果巧克力'] ['饮料'] 0.9615384615384616 0.23458445040214476
89 ['冷藏素食制品', '调味品'] ['饮料'] 0.9494949494949495 0.1260053619302949
90 ['即食主食', '常温熟食类'] ['饮料'] 0.9439252336448598 0.2707774798927614
91 ['糖果巧克力', '冷藏乳制品'] ['饮料'] 0.9695121951219512 0.2131367292225201
92 ['散装休闲食品', '糖果巧克力'] ['饮料'] 0.9471365638766521 0.28820375335120646
93 ['进口食品', '冷藏熟食'] ['饮料'] 0.9753086419753086 0.10589812332439678
94 ['饼干', '冷藏乳制品'] ['饮料'] 0.9788732394366199 0.1863270777479893
95 ['炒货食品', '调味品'] ['饮料'] 0.9803921568627451 0.13404825737265416
96 ['杂粮', '常温熟食类'] ['饮料'] 0.9905660377358491 0.14075067024128687
97 ['冲饮食品', '香烟'] ['饮料'] 0.9795918367346939 0.128686327077748
98 ['冰品', '常温熟食类'] ['饮料'] 1.0 0.1353887399463807
99 ['进口食品', '香烟'] ['饮料'] 0.9586206896551726 0.1863270777479893
100 ['散装休闲食品', '进口食品'] ['饮料'] 0.950207468879668 0.306970509383378
101 ['进口食品', '膨化食品'] ['饮料'] 0.9862068965517241 0.19168900804289543
102 ['香烟', '冷藏乳制品'] ['饮料'] 0.9189189189189191 0.13672922252010725
103 ['冲饮食品', '罐头食品'] ['饮料'] 1.0 0.10053619302949061
